name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
Buffalo	BUF	$ffffff	$0051ff	$0051ff	$ff1a4d	$ffffff	$ff1a4d	$0051ff	$0051ff	$ffffff	$0051ff	$ffffff	$0051ff	$ffffff	$ff1a4d	$e6e6e6	$e6e6e6	$ffffff	$0051ff	$0051ff	$ff1a4d	$0051ff	$ff1a4d	$0051ff	$0051ff	$ffffff	$0051ff	$ff1a4d	$ffffff	$ff1a4d	$0051ff	$ff0033	$ff0033	0	40	89	$0202ff
Miami	MIA	$ffffff	$00d9ff	$00d9ff	$00d9ff	$ffffff	$00d9ff	$00bfdb	$00bfdb	$ffffff	$00d9ff	$ffffff	$ffffff	$ffffff	$00d9ff	$00bfdb	$00bfdb	$ffffff	$00d9ff	$ff6600	$00d9ff	$ffffff	$00d9ff	$e6e6e6	$ff6600	$ffffff	$00d9ff	$00d9ff	$00d9ff	$00d9ff	$ffffff	$00bfdb	$00bfdb	0	59	0	$00ffcc
New England	N.E	$b3b3ff	$1a3d80	$1a3d80	$ff1a4d	$1a3d80	$FFFFFF	$e6e6e6	$0b203a	$b3b3ff	$1a3d80	$ffffff	$ff1a4d	$1a3d80	$FFFFFF	$e6e6e6	$0b203a	$ffffff	$0051ff	$ff1a4d	$ffffff	$ffffff	$ff1a4d	$e6e6e6	$ff1a4d	$b3b3ff	$1a3d80	$1a3d80	$b3b3ff	$b3b3ff	$1a3d80	$e6e6e6	$0b203a	0	49	52	$1d2253
New York J	NYJ	$2dff66	$ffffff	$2dff66	$ffffff	$ffffff	$2dff66	$e6e6e6	$0f4e3a	$2dff66	$ffffff	$ffffff	$2dff66	$2dff66	$ffffff	$e6e6e6	$0f4e3a	$2dff66	$ffffff	$2dff66	$ffffff	$2dff66	$ffffff	$e6e6e6	$e6e6e6	$18171a	$2dff66	$010101	$2dff66	$010101	$2dff66	$1a1a1a	$1a1a1a	0	47	25	$00ff66
Denver	DEN	$1a3d80	$ffffff	$ff7700	$ff7700	$ffffff	$1a3d80	$e6e6e6	$0b203a	$1a3d80	$ffffff	$ffffff	$FFFFFF	$ffffff	$1a3d80	$e6e6e6	$0b203a	$1a3d80	$ffffff	$1a3d80	$1a3d80	$1a3d80	$ff7700	$e6e6e6	$0b203a	$001489	$ff7722	$ff7722	$ffffff	$ffffff	$ff7722	$ffffff	$ff7722	0	17	62	$ff8800
Kansas City	K.C	$ff1a4d	$ffffff	$ff1a4d	$ffffff	$ffffff	$ff1a4d	$e6e6e6	$ff0033	$ff1a4d	$ffffff	$ffffff	$ff1a4d	$ff1a4d	$FFFFFF	$e6e6e6	$ffff00	$ff1a4d	$ffffff	$ffffff	$ff1a4d	$ffffff	$ff1a4d	$e6e6e6	$ff0033	$ff1a4d	$ffffff	$ff1a4d	$ffffff	$ff1a4d	$ffffff	$e6e6e6	$ff0033	0	40	15	$ff0000
Los Angeles C	LAC	$ffffff	$ffff00	$0099ff	$FFFF00	$FFFF00	$ffffff	$ffffff	$0099ff	$ffffff	$ffff00	$ffffff	$ffff00	$ffffff	$ffff00	$e6e6e6	$0099ff	$ffffff	$1a3d80	$1a3d80	$ffff00	$1a3d80	$ffff00	$0b203a	$0b203a	$ffffff	$ffff00	$0051ff	$ffff00	$0051ff	$ffff00	$002b7a	$002b7a	0	17	0	$3289ff
Las Vegas	L.V	$b3b3ff	$010101	$010101	$ccccff	$ccccff	$010101	$e6e6e6	$1a1a1a	$b3b3ff	$010101	$ffffff	$010101	$ccccff	$010101	$e6e6e6	$1a1a1a	$010101	$010101	$010101	$ffff00	$ffffff	$ffff00	$e6e6e6	$010101	$b3b3ff	$010101	$ffffff	$ccccff	$ffffff	$ccccff	$e6e6e6	$e6e6e6	1	5	0	$000000
Baltimore	BAL	$010101	$5544ff	$5544ff	$010101	$ffffff	$5544ff	$e6e6e6	$010101	$010101	$5544ff	$ffffff	$5544ff	$010101	$010101	$010101	$010101	$010101	$5544ff	$010101	$5544ff	$5544ff	$ffffff	$1a1a1a	$1a1a1a	$010101	$5544ff	$5544ff	$5544ff	$5544ff	$ffffff	$1a1a1a	$1a1a1a	0	45	19	$6633ff
Cincinnati	CIN	$ff6600	$010101	$010101	$ff6600	$ffffff	$ff6600	$010101	$010101	$ff6600	$010101	$ffffff	$010101	$010101	$ff6600	$e6e6e6	$e6e6e6	$dbe9f4	$010101	$ffffff	$010101	$ffffff	$010101	$e6e6e6	$e6e6e6	$ff6600	$010101	$ff6600	$010101	$010101	$ff6600	$ff4400	$ff4400	0	42	14	$ff7722
Cleveland	CLE	$ff5500	$ff5500	$ffaa00	$ffffff	$ff5500	$ffaa00	$e6e6e6	$ff3300	$ff5500	$ff5500	$ffffff	$ffaa00	$ffaa00	$ff5500	$e6e6e6	$ff3300	$ff5500	$ff5500	$ffffff	$ffaa00	$ffffff	$ff5500	$e6e6e6	$ffaa00	$ff5500	$ff5500	$ffaa00	$ffffff	$ffffff	$ff5500	$e6e6e6	$ffaa00	0	40	61	$ff6611
Pittsburgh	PIT	$010101	$ffffff	$010101	$ffff00	$ffff00	$010101	$e6e6e6	$1a1a1a	$010101	$ffffff	$ffffff	$ffff00	$ffff00	$010101	$e6e6e6	$1a1a1a	$ffff00	$ffff00	$ffffff	$010101	$ffffff	$ffff00	$e6e6e6	$010101	$010101	$ffffff	$010101	$ffff00	$010101	$ffff00	$1a1a1a	$1a1a1a	0	38	27	$ffff00
Houston	HOU	$1a3d80	$ff1a66	$1a3d80	$ff1a66	$ffffff	$1a3d80	$e6e6e6	$081c28	$1a3d80	$ff1a66	$ffffff	$1a3d80	$1a3d80	$FFFFFF	$e6e6e6	$081c28	$ff0044	$1a3d80	$ff1a66	$ffffff	$ffffff	$1a3d80	$ff1a66	$ff1a66	$1a3d80	$ff1a66	$1a3d80	$ff1a66	$1a3d80	$ff1a66	$081c28	$081c28	1	51	0	$ff0055
